id_police,bonus_malus,niveau_couverture,duree_contrat_mois,anciennete_situation,frequence_paiement,paiement_usage,usage_vehicule,code_insee,presence_conducteur2,age_conducteur1,age_conducteur2,sexe_conducteur1,sexe_conducteur2,anciennete_permis1,anciennete_permis2,age_vehicule,cylindree,puissance_din,type_carburant,marque_vehicule,modele_vehicule,vitesse_max,type_vehicule,valeur_vehicule,poids_vehicule,code_departement,anciennete_commercialisation,anciennete_fin_commercialisation,montant_total_sinistres,nombre_sinistres,poste_id,latitude,longitude,altitude,mois,precipitations_totales,nb_valeurs_precipitations,precip_max_24h,jour_precip_max,nbj_precip_1mm,nbj_precip_5mm,nbj_precip_10mm,nbj_precip_30mm,nbj_precip_50mm,nbj_precip_100mm,nbj_gelee,amplitude_moyenne,amplitude_maximale,jour_ampli_max,nb_valeurs_amplitude,temperature_moyenne,nb_valeurs_tmoyenne,nb_valeurs_tm,nb_jours_tm_sup24,tmoy_minimale,jour_tmoy_minimale,tmoy_maximale,jour_tmoy_maximale,departement,tranche_age
A00080401-V01,0.5,4,2.0,2.0,2,No,Professional,83061,No,58.0,,F,,25.0,,2,1560.0,109.0,Diesel,CITROEN,C4 PICASSO,180.0,Tourism,28650.0,1489,83,2022.0,2024.0,2111.4,1.0,83061001.0,43.4235,6.738,7.0,202301.0,21.6,31.0,12.0,8.0,3.0,2.0,1.0,0.0,0.0,0.0,3.0,9.2,13.3,29.0,31.0,9.3,31.0,31.0,0.0,4.6,22.0,14.0,7.0,83,46-60
A00078078-V01,0.5,3,12.0,2.0,2,No,Retired,69114,No,59.0,,M,,41.0,,13,2499.0,79.0,Diesel,RENAULT,MASTER,125.0,Commercial,21695.0,0,69,2011.0,2014.0,,0.0,69114001.0,45.9765,4.650333,290.0,202301.0,23.4,31.0,6.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,9.0,5.3,10.7,7.0,31.0,5.1,31.0,31.0,0.0,0.1,22.0,13.4,1.0,69,46-60
A00020652-V01,0.5,4,2.0,2.0,1,No,WorkPrivate,15014,Yes,64.0,67.0,M,F,46.0,44.0,2,1461.0,86.0,Diesel,SUZUKI,JIMNY,145.0,Tourism,14890.0,1145,15,2020.0,2024.0,,0.0,15014001.0,44.935833,2.438333,707.0,202301.0,82.3,31.0,12.9,7.0,14.0,7.0,3.0,0.0,0.0,0.0,17.0,5.3,11.4,23.0,31.0,2.5,31.0,31.0,0.0,-3.9,25.0,12.6,1.0,15,61-75
A00066067-V01,0.5,4,4.0,2.0,4,No,Retired,49007,No,67.0,,M,,47.0,,6,1360.0,74.0,Gasoline,PEUGEOT,_1007,165.0,Tourism,15750.0,1215,49,2019.0,2020.0,,0.0,49007011.0,47.4535,-0.5605,35.0,202301.0,69.3,31.0,12.9,14.0,14.0,7.0,1.0,0.0,0.0,0.0,6.0,4.7,9.1,20.0,31.0,7.3,31.0,31.0,0.0,0.8,22.0,13.9,1.0,49,61-75
A00048345-V01,0.6,3,9.0,1.0,12,No,WorkPrivate,60057,No,35.0,,F,,16.0,,6,1149.0,59.0,Gasoline,RENAULT,TWINGO,151.0,Tourism,8522.0,823,60,2012.0,2014.0,,0.0,60639001.0,49.4465,2.127167,89.0,202301.0,47.4,31.0,8.0,14.0,10.0,4.0,0.0,0.0,0.0,0.0,10.0,5.1,13.4,31.0,31.0,5.4,31.0,31.0,0.0,-0.7,22.0,11.8,5.0,60,31-45
A00068465-V01,0.5,4,22.0,2.0,1,No,Retired,85109,Yes,80.0,38.0,M,F,58.0,18.0,3,1124.0,60.0,Gasoline,CITROEN,C3,157.0,Tourism,13350.0,978,85,2018.0,2019.0,306.26,1.0,85109001.0,46.855833,-1.018167,103.0,202301.0,115.8,31.0,21.9,14.0,16.0,8.0,4.0,0.0,0.0,0.0,8.0,5.8,10.4,20.0,31.0,6.0,31.0,31.0,0.0,-1.7,22.0,12.4,1.0,85,76+
A00068453-V01,0.5,3,10.0,10.0,1,No,Retired,79049,No,82.0,,M,,43.0,,27,1971.0,97.0,Gasoline,PEUGEOT,_505,166.0,Tourism,8004.0,1200,79,1993.0,1995.0,,0.0,79049004.0,46.839833,-0.515833,191.0,202301.0,83.3,31.0,20.0,14.0,14.0,6.0,4.0,0.0,0.0,0.0,9.0,4.8,11.4,20.0,31.0,5.7,31.0,31.0,0.0,-1.5,22.0,13.1,1.0,79,76+
A00003009-V01,0.5,2,3.0,3.0,12,No,WorkPrivate,21231,No,32.0,,M,,14.0,,40,479.0,15.0,Gasoline,FIAT,_500,95.0,Tourism,648.0,500,21,1973.0,1975.0,,0.0,21231001.0,47.320667,5.019333,241.0,202301.0,50.2,31.0,10.0,17.0,11.0,4.0,1.0,0.0,0.0,0.0,10.0,4.7,9.3,30.0,31.0,4.9,31.0,31.0,0.0,-0.4,30.0,13.7,1.0,21,31-45
A00055501-V01,0.72,2,2.0,2.0,2,No,WorkPrivate,35238,No,26.0,,M,,8.0,,19,2498.0,143.0,Diesel,BMW,_525,205.0,Tourism,34942.0,1400,35,2005.0,2010.0,,0.0,35238003.0,48.126167,-1.6435,66.0,202301.0,65.0,31.0,11.0,15.0,13.0,4.0,1.0,0.0,0.0,0.0,5.0,4.7,8.7,22.0,31.0,7.1,31.0,31.0,0.0,0.9,22.0,12.6,4.0,35,18-30
A00070627-V01,0.5,4,9.0,1.0,1,Yes,Retired,06029,No,67.0,,F,,42.0,,7,1796.0,164.0,Gasoline,MERCEDES BENZ,SLK,226.0,Tourism,41400.0,1315,06,2018.0,2022.0,,0.0,6029001.0,43.5565,6.9505,2.0,202301.0,43.5,31.0,37.9,8.0,3.0,1.0,1.0,1.0,0.0,0.0,5.0,10.4,14.2,14.0,31.0,9.5,31.0,31.0,0.0,4.7,21.0,14.5,3.0,06,61-75
A00078466-V01,0.5,2,3.0,2.0,2,No,Professional,66136,No,61.0,,M,,43.0,,21,1753.0,75.0,Diesel,FORD,SIERRA,150.0,Commercial,14944.0,2300,66,2003.0,2007.0,,0.0,66136001.0,42.737167,2.872833,42.0,202301.0,19.5,31.0,17.1,19.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,7.3,13.5,11.0,31.0,8.6,31.0,31.0,0.0,3.3,23.0,14.5,3.0,66,61-75
A00060829-V01,0.76,1,9.0,4.0,1,No,Retired,49007,No,86.0,,F,,45.0,,20,1108.0,48.0,Gasoline,RENAULT,SUPERCINQ,143.0,Tourism,7890.0,715,49,1998.0,2009.0,,0.0,49007011.0,47.4535,-0.5605,35.0,202301.0,69.3,31.0,12.9,14.0,14.0,7.0,1.0,0.0,0.0,0.0,6.0,4.7,9.1,20.0,31.0,7.3,31.0,31.0,0.0,0.8,22.0,13.9,1.0,49,76+
A00016122-V01,0.5,4,5.0,3.0,1,No,WorkPrivate,15014,No,51.0,,F,,29.0,,4,2696.0,165.0,Diesel,SSANGYONG,KYRON,174.0,Tourism,31490.0,2010,15,2021.0,2024.0,,0.0,15014001.0,44.935833,2.438333,707.0,202301.0,82.3,31.0,12.9,7.0,14.0,7.0,3.0,0.0,0.0,0.0,17.0,5.3,11.4,23.0,31.0,2.5,31.0,31.0,0.0,-3.9,25.0,12.6,1.0,15,46-60
A00084905-V01,0.5,2,21.0,1.0,2,No,WorkPrivate,34032,No,61.0,,M,,42.0,,4,1461.0,64.0,Diesel,RENAULT,TWINGO,164.0,Tourism,14250.0,980,34,2021.0,2024.0,120.84,1.0,34032002.0,43.334333,3.155,25.0,202301.0,22.0,31.0,9.2,19.0,4.0,2.0,0.0,0.0,0.0,0.0,7.0,9.4,18.4,4.0,31.0,7.4,31.0,31.0,0.0,1.4,25.0,15.3,1.0,34,61-75
A00084521-V01,0.5,4,29.0,2.0,1,No,Retired,29232,No,76.0,,F,,54.0,,2,998.0,70.0,Gasoline,TOYOTA,YARIS,155.0,Tourism,11950.0,980,29,2019.0,2023.0,1318.89,2.0,29216001.0,47.973,-4.160667,82.0,202301.0,156.5,31.0,24.2,15.0,20.0,13.0,4.0,0.0,0.0,0.0,4.0,5.1,9.2,20.0,31.0,7.6,31.0,31.0,0.0,1.5,22.0,12.5,4.0,29,76+
A00028883-V01,0.5,4,29.0,1.0,1,No,Retired,24037,No,78.0,,M,,60.0,,1,1197.0,105.0,Gasoline,SKODA,YETI,175.0,Tourism,20610.0,1285,24,2023.0,2024.0,,0.0,24037005.0,44.822833,0.524167,49.0,202301.0,72.2,31.0,18.2,19.0,10.0,5.0,2.0,0.0,0.0,0.0,8.0,6.2,13.1,30.0,31.0,6.2,31.0,31.0,0.0,-1.2,22.0,14.5,1.0,24,76+
A00008832-V01,0.5,3,5.0,1.0,1,No,Professional,64122,No,64.0,,F,,46.0,,11,2464.0,119.0,Gasoline,JEEP,CHEROKEE,165.0,Tourism,20398.0,1456,64,2013.0,2015.0,,0.0,64024001.0,43.469333,-1.534333,71.0,202301.0,241.6,31.0,81.5,16.0,12.0,7.0,7.0,2.0,1.0,0.0,2.0,6.6,13.1,4.0,31.0,8.4,31.0,31.0,0.0,1.7,23.0,20.0,1.0,64,61-75
A00090626-V01,0.5,3,23.0,3.0,2,No,WorkPrivate,83137,No,65.0,,M,,44.0,,13,2494.0,170.0,Gasoline,BMW,323 I,231.0,Tourism,31253.0,1445,83,2012.0,2014.0,,0.0,83137001.0,43.115833,5.900667,3.0,202301.0,20.4,31.0,7.6,8.0,4.0,2.0,0.0,0.0,0.0,0.0,5.0,8.7,14.0,31.0,31.0,9.8,31.0,31.0,0.0,4.7,23.0,15.8,1.0,83,61-75
A00091233-V01,0.5,1,2.0,2.0,1,No,Retired,86137,No,67.0,,M,,49.0,,17,954.0,45.0,Gasoline,CITROEN,C15,133.0,Commercial,8242.0,1435,86,2000.0,2009.0,,0.0,86137003.0,47.034833,0.097667,96.0,202301.0,56.0,31.0,10.8,15.0,10.0,5.0,2.0,0.0,0.0,0.0,9.0,5.0,9.2,30.0,31.0,6.4,31.0,31.0,0.0,-0.5,22.0,13.5,1.0,86,61-75
A00043701-V01,0.9,3,3.0,2.0,12,No,WorkPrivate,56178,No,26.0,,F,,3.0,,12,1360.0,75.0,Gasoline,PEUGEOT,_106,166.0,Tourism,11388.0,835,56,2012.0,2014.0,,0.0,56151001.0,48.055667,-2.916667,125.0,202301.0,102.5,31.0,22.5,15.0,17.0,7.0,2.0,0.0,0.0,0.0,5.0,5.2,9.5,20.0,31.0,6.8,31.0,31.0,0.0,0.2,22.0,12.4,4.0,56,18-30
A00081208-V01,0.5,4,26.0,1.0,1,Yes,WorkPrivate,15014,No,50.0,,F,,30.0,,13,1870.0,98.0,Diesel,RENAULT,SCENIC,173.0,Tourism,19651.0,1300,15,2011.0,2012.0,,0.0,15014001.0,44.935833,2.438333,707.0,202301.0,82.3,31.0,12.9,7.0,14.0,7.0,3.0,0.0,0.0,0.0,17.0,5.3,11.4,23.0,31.0,2.5,31.0,31.0,0.0,-3.9,25.0,12.6,1.0,15,46-60
A00003470-V01,0.5,4,26.0,3.0,2,No,WorkPrivate,36127,Yes,65.0,59.0,M,F,45.0,39.0,5,1560.0,109.0,Diesel,PEUGEOT,_407,192.0,Tourism,23500.0,1437,36,2018.0,2020.0,,0.0,36127002.0,46.610167,1.974,204.0,202301.0,53.0,31.0,12.8,16.0,14.0,3.0,2.0,0.0,0.0,0.0,10.0,4.7,12.5,7.0,31.0,5.5,31.0,31.0,0.0,-0.7,22.0,16.5,1.0,36,61-75
A00089801-V01,0.64,4,5.0,2.0,12,No,WorkPrivate,37261,No,58.0,,M,,11.0,,2,1398.0,68.0,Diesel,PEUGEOT,_206,168.0,Tourism,14500.0,1049,37,2015.0,2019.0,,0.0,37179001.0,47.4445,0.727333,108.0,202301.0,72.1,31.0,16.7,14.0,12.0,5.0,3.0,0.0,0.0,0.0,8.0,4.2,8.7,10.0,31.0,6.3,31.0,31.0,0.0,0.5,22.0,13.8,1.0,37,46-60
A00016751-V01,0.5,4,24.0,4.0,1,No,Retired,81004,No,82.0,,M,,56.0,,14,1905.0,70.0,Diesel,PEUGEOT,PARTNER,144.0,Commercial,13550.0,1155,81,2010.0,2012.0,,0.0,81284001.0,43.914667,2.116333,172.0,202301.0,80.8,31.0,29.1,17.0,9.0,6.0,2.0,0.0,0.0,0.0,7.0,6.2,15.2,7.0,31.0,5.2,31.0,31.0,0.0,-2.2,25.0,12.5,2.0,81,76+
A00027200-V01,0.5,4,1.0,1.0,1,No,WorkPrivate,77288,Yes,52.0,50.0,M,F,32.0,29.0,4,1398.0,68.0,Diesel,PEUGEOT,_207,166.0,Tourism,14600.0,1176,77,2020.0,2024.0,,0.0,77306001.0,48.610333,2.6795,91.0,202301.0,44.9,31.0,11.3,14.0,12.0,2.0,1.0,0.0,0.0,0.0,9.0,4.8,10.1,31.0,31.0,5.6,31.0,31.0,0.0,-0.1,22.0,12.8,1.0,77,46-60
A00046048-V01,0.5,4,1.0,1.0,1,No,WorkPrivate,79191,No,45.0,,F,,27.0,,1,1149.0,59.0,Gasoline,RENAULT,CLIO,158.0,Tourism,9699.0,975,79,2024.0,2024.0,,0.0,79191005.0,46.315833,-0.400167,57.0,202301.0,90.1,31.0,20.4,14.0,11.0,7.0,4.0,0.0,0.0,0.0,9.0,5.2,10.2,30.0,31.0,6.3,31.0,31.0,0.0,-0.8,22.0,13.8,1.0,79,31-45
A00065253-V01,0.5,4,11.0,4.0,1,No,WorkPrivate,78646,No,42.0,,F,,23.0,,4,1560.0,109.0,Diesel,CITROEN,C4 PICASSO,180.0,Tourism,27000.0,1499,78,2021.0,2022.0,,0.0,78646002.0,48.803333,2.09,121.0,202301.0,57.5,31.0,12.5,14.0,16.0,5.0,1.0,0.0,0.0,0.0,10.0,5.3,11.7,31.0,31.0,6.1,31.0,31.0,0.0,0.2,29.0,13.2,1.0,78,31-45
A00068022-V02,0.5,4,1.0,1.0,1,Yes,Retired,67482,Yes,58.0,63.0,F,M,39.0,40.0,1,1984.0,211.0,Gasoline,AUDI,Q5,222.0,Tourism,53600.0,1740,67,2022.0,2024.0,,0.0,67482001.0,48.581833,7.768833,139.0,202301.0,34.8,31.0,6.2,8.0,9.0,2.0,0.0,0.0,0.0,0.0,8.0,4.0,7.7,4.0,31.0,5.8,31.0,31.0,0.0,-0.6,21.0,14.3,1.0,67,46-60
A00031362-V01,0.5,4,4.0,1.0,1,No,WorkPrivate,33080,No,58.0,,F,,40.0,,4,1149.0,75.0,Gasoline,RENAULT,TWINGO,170.0,Tourism,10500.0,845,33,2014.0,2020.0,,0.0,33080001.0,44.752833,-0.559333,20.0,202301.0,115.0,31.0,22.5,19.0,14.0,7.0,5.0,0.0,0.0,0.0,5.0,6.3,12.5,3.0,31.0,7.3,31.0,31.0,0.0,-0.8,22.0,14.4,1.0,33,46-60
A00007495-V01,0.5,1,7.0,3.0,2,No,WorkPrivate,54395,Yes,55.0,43.0,M,F,35.0,25.0,24,602.0,29.0,Gasoline,CITROEN,2CV 6,115.0,Tourism,3299.0,560,54,1984.0,1995.0,,0.0,54526001.0,48.687833,6.2215,212.0,202301.0,65.4,31.0,12.1,14.0,13.0,3.0,2.0,0.0,0.0,0.0,9.0,3.8,7.5,3.0,31.0,4.9,31.0,31.0,0.0,-0.8,26.0,13.5,1.0,54,46-60
A00025869-V01,0.5,1,29.0,13.0,2,No,Professional,13110,No,68.0,,F,,41.0,,28,3980.0,105.0,Diesel,TOYOTA,LAND CRUISER,126.0,Tourism,17982.0,1970,13,1995.0,1997.0,1011.02,1.0,13110003.0,43.445333,5.698667,264.0,202301.0,5.6,31.0,3.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,10.8,18.4,31.0,31.0,6.1,31.0,31.0,0.0,0.5,23.0,13.8,1.0,13,61-75
A00069200-V01,0.57,3,7.0,2.0,12,No,WorkPrivate,45187,Yes,33.0,27.0,F,M,14.0,94.0,7,1910.0,116.0,Diesel,FIAT,STILO,190.0,Tourism,19060.0,1320,45,2015.0,2017.0,,0.0,45187001.0,47.881167,2.505167,125.0,202301.0,77.1,31.0,13.2,17.0,13.0,7.0,2.0,0.0,0.0,0.0,6.0,4.1,8.7,10.0,31.0,5.8,31.0,31.0,0.0,-0.8,22.0,14.1,1.0,45,31-45
A00013513-V01,0.5,1,6.0,3.0,2,No,WorkPrivate,44015,No,70.0,,M,,46.0,,14,954.0,51.0,Gasoline,CITROEN,SAXO,149.0,Tourism,8980.0,805,44,2010.0,2012.0,,0.0,44015001.0,47.472833,-1.771667,13.0,202301.0,101.4,31.0,15.3,14.0,17.0,9.0,2.0,0.0,0.0,0.0,6.0,6.0,13.0,20.0,31.0,7.1,31.0,31.0,0.0,-1.0,22.0,13.0,1.0,44,61-75
A00067792-V02,0.5,4,3.0,2.0,1,No,WorkPrivate,24291,No,59.0,,F,,33.0,,8,1995.0,116.0,Diesel,TOYOTA,RAV4,170.0,Tourism,25141.0,1425,24,2015.0,2015.0,,0.0,24291001.0,45.052167,1.147333,77.0,202301.0,77.3,31.0,13.6,16.0,13.0,6.0,3.0,0.0,0.0,0.0,8.0,6.7,14.3,30.0,31.0,5.7,31.0,31.0,0.0,-1.8,25.0,11.9,1.0,24,46-60
A00026961-V02,0.5,4,4.0,2.0,2,No,WorkPrivate,54395,No,47.0,,M,,29.0,,7,1868.0,70.0,Diesel,PEUGEOT,PARTNER,142.0,Commercial,14352.0,1155,54,2016.0,2021.0,,0.0,54526001.0,48.687833,6.2215,212.0,202301.0,65.4,31.0,12.1,14.0,13.0,3.0,2.0,0.0,0.0,0.0,9.0,3.8,7.5,3.0,31.0,4.9,31.0,31.0,0.0,-0.8,26.0,13.5,1.0,54,46-60
A00074679-V01,0.5,4,30.0,2.0,1,No,Retired,85215,No,82.0,,F,,55.0,,30,602.0,33.0,Gasoline,CITROEN,DYANE 6,121.0,Tourism,4711.0,610,85,1982.0,1997.0,,0.0,85215002.0,46.848,-1.184167,62.0,202301.0,93.3,31.0,18.8,14.0,13.0,8.0,4.0,0.0,0.0,0.0,8.0,5.8,10.8,20.0,31.0,6.4,31.0,31.0,0.0,-2.2,22.0,12.9,1.0,85,76+
A00081655-V01,0.5,4,5.0,1.0,12,No,WorkPrivate,83069,Yes,58.0,70.0,F,M,40.0,47.0,1,1360.0,89.0,Gasoline,PEUGEOT,_207,180.0,Tourism,16700.0,1166,83,2022.0,2024.0,,0.0,83069001.0,43.1005,6.147,2.0,202301.0,23.0,31.0,7.7,8.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,9.1,14.5,13.0,31.0,9.8,31.0,31.0,0.0,5.0,30.0,15.3,1.0,83,46-60
A00027211-V01,0.57,3,8.0,3.0,4,No,WorkPrivate,35115,No,34.0,,F,,13.0,,10,1997.0,90.0,Diesel,PEUGEOT,_307,179.0,Tourism,18100.0,1243,35,2015.0,2018.0,,0.0,35115001.0,48.337167,-1.212667,74.0,202301.0,76.3,31.0,11.5,14.0,14.0,5.0,2.0,0.0,0.0,0.0,7.0,5.6,11.2,22.0,31.0,6.4,31.0,31.0,0.0,-0.2,22.0,12.2,4.0,35,31-45
A00070754-V01,0.5,3,26.0,6.0,2,No,WorkPrivate,25056,Yes,46.0,45.0,M,F,26.0,23.0,14,1598.0,101.0,Gasoline,OPEL,ASTRA,188.0,Tourism,16130.0,960,25,2008.0,2010.0,,0.0,25056001.0,47.249,5.988833,307.0,202301.0,90.3,31.0,11.1,4.0,14.0,10.0,3.0,0.0,0.0,0.0,10.0,4.2,9.9,4.0,31.0,4.8,31.0,31.0,0.0,-1.3,20.0,16.1,1.0,25,46-60
A00017429-V01,0.5,4,8.0,2.0,12,No,WorkPrivate,11262,No,61.0,,M,,39.0,,10,1997.0,90.0,Diesel,PEUGEOT,PARTNER,163.0,Tourism,16790.0,1110,11,2015.0,2016.0,,0.0,11262005.0,43.150333,2.955833,110.0,202301.0,37.6,31.0,14.4,16.0,5.0,3.0,2.0,0.0,0.0,0.0,1.0,5.5,9.2,11.0,31.0,7.6,31.0,31.0,0.0,1.3,23.0,14.0,2.0,11,61-75
A00072900-V01,0.5,4,11.0,8.0,12,No,Retired,17306,Yes,73.0,73.0,F,M,44.0,20.0,8,1870.0,120.0,Diesel,RENAULT,SCENIC,188.0,Tourism,24150.0,1430,17,2017.0,2019.0,,0.0,17306004.0,45.633,-0.974667,12.0,202301.0,136.9,31.0,34.3,8.0,13.0,9.0,4.0,1.0,0.0,0.0,7.0,5.2,11.1,30.0,31.0,7.3,31.0,31.0,0.0,-0.5,22.0,13.4,1.0,17,61-75
A00060342-V01,0.5,3,12.0,1.0,2,No,WorkPrivate,09107,No,46.0,,M,,28.0,,13,2499.0,116.0,Diesel,JEEP,CHEROKEE,165.0,Tourism,27098.0,1545,09,2010.0,2012.0,,0.0,18087001.0,46.878333,2.566167,160.0,202301.0,47.6,31.0,8.2,7.0,12.0,3.0,0.0,0.0,0.0,0.0,9.0,5.3,13.7,3.0,31.0,5.4,31.0,31.0,0.0,-0.4,30.0,12.8,1.0,09,46-60
A00019976-V01,0.5,4,8.0,1.0,12,No,WorkPrivate,52121,No,48.0,,M,,30.0,,3,1461.0,85.0,Diesel,DACIA,LOGAN,161.0,Tourism,12840.0,1245,52,2021.0,2022.0,116.33,1.0,55108004.0,48.931333,5.264667,294.0,202301.0,104.7,31.0,22.8,14.0,14.0,9.0,3.0,0.0,0.0,0.0,12.0,3.6,7.8,10.0,31.0,4.3,31.0,31.0,0.0,-1.4,22.0,13.4,1.0,52,46-60
A00073264-V01,0.5,4,6.0,6.0,1,No,WorkPrivate,13005,No,52.0,,M,,33.0,,13,1598.0,90.0,Gasoline,RENAULT,CLIO,181.0,Tourism,13172.0,975,13,2012.0,2012.0,,0.0,13005003.0,43.307333,5.601167,130.0,202301.0,10.8,31.0,3.2,24.0,4.0,0.0,0.0,0.0,0.0,0.0,13.0,11.4,17.6,29.0,31.0,7.5,31.0,31.0,0.0,1.9,23.0,15.2,1.0,13,46-60
